modality,pair,subject,method,hf_ratio
T2W,1.5T_to_3T,0007,UNet,0.261433533291346
T2W,1.5T_to_3T,0007,INR,0.3426959335865553
T2W,1.5T_to_3T,0009,identite,0.6060811324785896
T2W,1.5T_to_3T,0009,Vectorise,0.2577973391718188
T2W,1.5T_to_3T,0009,UNet,0.25574941780723537
T2W,1.5T_to_3T,0009,INR,0.08028918356445348
T2W,1.5T_to_5T,0006,identite,0.6597602610430187
T2W,1.5T_to_5T,0006,Vectorise,0.2762867940987902
T2W,1.5T_to_5T,0006,UNet,0.2770621106704846
T2W,1.5T_to_5T,0006,INR,0.07501489451606894
T2W,1.5T_to_5T,0007,identite,0.5029162335062969
T2W,1.5T_to_5T,0007,Vectorise,0.19676552531935437
T2W,1.5T_to_5T,0007,UNet,0.20754217553707313
T2W,1.5T_to_5T,0007,INR,0.2706849987198823
T2W,1.5T_to_5T,0009,identite,0.46463492029347986
T2W,1.5T_to_5T,0009,Vectorise,0.19587683885650453
T2W,1.5T_to_5T,0009,UNet,0.1965174945812646
T2W,1.5T_to_5T,0009,INR,0.06259726187927497
T2W,1.5T_to_7T,0006,identite,0.83859853931099
T2W,1.5T_to_7T,0006,Vectorise,0.34772920499464316
T2W,1.5T_to_7T,0006,UNet,0.35320957825137095
T2W,1.5T_to_7T,0006,INR,0.10438146992937987
T2W,1.5T_to_7T,0007,identite,0.838439275664267
T2W,1.5T_to_7T,0007,Vectorise,0.3272465594498221
T2W,1.5T_to_7T,0007,UNet,0.35637125821579085
T2W,1.5T_to_7T,0007,INR,0.48704684835014594
T2W,1.5T_to_7T,0009,identite,0.788757226985859
T2W,1.5T_to_7T,0009,Vectorise,0.32136499937196267
T2W,1.5T_to_7T,0009,UNet,0.3296601947545298
T2W,1.5T_to_7T,0009,INR,0.10484962932165527
T2W,3T_to_0.1T,0006,identite,14.27656171831514
T2W,3T_to_0.1T,0006,Vectorise,6.0858076835010255
T2W,3T_to_0.1T,0006,UNet,6.759431817165543
T2W,3T_to_0.1T,0006,INR,4.298562468522104
T2W,3T_to_0.1T,0007,identite,7.007277106563667
T2W,3T_to_0.1T,0007,Vectorise,2.775835944147696
T2W,3T_to_0.1T,0007,UNet,3.0562152324222853
T2W,3T_to_0.1T,0007,INR,2.749503634044803
T2W,3T_to_0.1T,0009,identite,15.290413072538971
T2W,3T_to_0.1T,0009,Vectorise,5.84576647871934
